Country Code,Country Name,Indicator,Characteristic Category,Characteristic Label,gender,first,last,diff,delta
ZW,Zimbabwe,if she burns the food,Education,No education,Women,18.9,17,-1.8999999999999986,negative
ZW,Zimbabwe,if she burns the food,Education,Primary,Women,15.6,12.1,-3.5,negative
ZW,Zimbabwe,if she burns the food,Education,Secondary,Women,8.7,7.1,-1.5999999999999996,negative
ZW,Zimbabwe,if she burns the food,Education,Higher,Women,2.6,1.1,-1.5,negative
ZW,Zimbabwe,if she burns the food,Wealth quintile,Lowest,Women,18.2,13.5,-4.699999999999999,negative
ZW,Zimbabwe,if she burns the food,Wealth quintile,Second,Women,14.8,9.8,-5,negative
ZW,Zimbabwe,if she burns the food,Wealth quintile,Middle,Women,13.3,9.2,-4.100000000000001,negative
ZW,Zimbabwe,if she burns the food,Wealth quintile,Fourth,Women,10.9,7,-3.9000000000000004,negative
ZW,Zimbabwe,if she burns the food,Wealth quintile,Highest,Women,5.7,3.5,-2.2,negative
ZW,Zimbabwe,if she burns the food,Marital status,Married or living together,Women,12.2,7.6,-4.6,negative
ZW,Zimbabwe,if she burns the food,Marital status,"Widowed, divorced, separated",Women,11.5,5.8,-5.7,negative
ZW,Zimbabwe,if she burns the food,Marital status,Never married,Women,11.8,10.6,-1.200000000000001,negative
ZW,Zimbabwe,if she argues with him,Education,No education,Women,43,26.4,-16.6,negative
ZW,Zimbabwe,if she argues with him,Education,Primary,Women,38.4,25.5,-12.899999999999999,negative
ZW,Zimbabwe,if she argues with him,Education,Secondary,Women,26.2,14.7,-11.5,negative
ZW,Zimbabwe,if she argues with him,Education,Higher,Women,5.1,2.4,-2.6999999999999997,negative
ZW,Zimbabwe,if she argues with him,Wealth quintile,Lowest,Women,46,26.9,-19.1,negative
ZW,Zimbabwe,if she argues with him,Wealth quintile,Second,Women,39.5,20.8,-18.7,negative
ZW,Zimbabwe,if she argues with him,Wealth quintile,Middle,Women,34.5,17.8,-16.7,negative
ZW,Zimbabwe,if she argues with him,Wealth quintile,Fourth,Women,27.4,14.3,-13.099999999999998,negative
ZW,Zimbabwe,if she argues with him,Wealth quintile,Highest,Women,18.1,8.4,-9.700000000000001,negative
ZW,Zimbabwe,if she argues with him,Marital status,Married or living together,Women,33.7,17,-16.700000000000003,negative
ZW,Zimbabwe,if she argues with him,Marital status,"Widowed, divorced, separated",Women,29.1,13.5,-15.600000000000001,negative
ZW,Zimbabwe,if she argues with him,Marital status,Never married,Women,28.3,17.6,-10.7,negative
ZW,Zimbabwe,if she goes out without telling him,Education,No education,Women,32.6,35,2.3999999999999986,positive
ZW,Zimbabwe,if she goes out without telling him,Education,Primary,Women,31.8,31.2,-0.6000000000000014,negative
ZW,Zimbabwe,if she goes out without telling him,Education,Secondary,Women,25.3,21.6,-3.6999999999999993,negative
ZW,Zimbabwe,if she goes out without telling him,Education,Higher,Women,4.2,2.9,-1.3000000000000003,negative
ZW,Zimbabwe,if she goes out without telling him,Wealth quintile,Lowest,Women,34.2,31.5,-2.700000000000003,negative
ZW,Zimbabwe,if she goes out without telling him,Wealth quintile,Second,Women,37.6,29.8,-7.800000000000001,negative
ZW,Zimbabwe,if she goes out without telling him,Wealth quintile,Middle,Women,31.3,26.5,-4.800000000000001,negative
ZW,Zimbabwe,if she goes out without telling him,Wealth quintile,Fourth,Women,23.8,20.1,-3.6999999999999993,negative
ZW,Zimbabwe,if she goes out without telling him,Wealth quintile,Highest,Women,17.5,12.2,-5.300000000000001,negative
ZW,Zimbabwe,if she goes out without telling him,Marital status,Married or living together,Women,28.7,22.8,-5.899999999999999,negative
ZW,Zimbabwe,if she goes out without telling him,Marital status,"Widowed, divorced, separated",Women,27.8,19.5,-8.3,negative
ZW,Zimbabwe,if she goes out without telling him,Marital status,Never married,Women,25.7,24.8,-0.8999999999999986,negative
ZW,Zimbabwe,if she neglects the children,Education,No education,Women,34.2,33.3,-0.9000000000000057,negative
ZW,Zimbabwe,if she neglects the children,Education,Primary,Women,34.3,26.3,-7.9999999999999964,negative
ZW,Zimbabwe,if she neglects the children,Education,Secondary,Women,29.5,21.1,-8.399999999999999,negative
ZW,Zimbabwe,if she neglects the children,Education,Higher,Women,11.5,4.6,-6.9,negative
ZW,Zimbabwe,if she neglects the children,Wealth quintile,Lowest,Women,39.7,29.4,-10.300000000000004,negative
ZW,Zimbabwe,if she neglects the children,Wealth quintile,Second,Women,37.1,22.9,-14.200000000000003,negative
ZW,Zimbabwe,if she neglects the children,Wealth quintile,Middle,Women,34.1,23,-11.100000000000001,negative
ZW,Zimbabwe,if she neglects the children,Wealth quintile,Fourth,Women,27.2,20.4,-6.800000000000001,negative
ZW,Zimbabwe,if she neglects the children,Wealth quintile,Highest,Women,22.8,14.6,-8.200000000000001,negative
ZW,Zimbabwe,if she neglects the children,Marital status,Married or living together,Women,31.1,20.1,-11,negative
ZW,Zimbabwe,if she neglects the children,Marital status,"Widowed, divorced, separated",Women,29.1,19.8,-9.3,negative
ZW,Zimbabwe,if she neglects the children,Marital status,Never married,Women,32.5,25.2,-7.300000000000001,negative
ZW,Zimbabwe,if she refuses to have sex with him,Education,No education,Women,32.4,28.5,-3.8999999999999986,negative
ZW,Zimbabwe,if she refuses to have sex with him,Education,Primary,Women,29.5,22.1,-7.399999999999999,negative
ZW,Zimbabwe,if she refuses to have sex with him,Education,Secondary,Women,16.1,12.4,-3.700000000000001,negative
ZW,Zimbabwe,if she refuses to have sex with him,Education,Higher,Women,7.9,3.9,-4,negative
ZW,Zimbabwe,if she refuses to have sex with him,Wealth quintile,Lowest,Women,32.9,22.4,-10.5,negative
