Country Code,Country Name,Survey Year,Indicator,Characteristic Category,Characteristic Label,Value,gender
AM,Armenia,2000,if she burns the food,Education,Secondary,5.7,Women
AM,Armenia,2000,if she burns the food,Education,Higher,1.3,Women
AM,Armenia,2000,if she burns the food,Wealth quintile,Lowest,12.2,Women
AM,Armenia,2000,if she burns the food,Wealth quintile,Second,6.2,Women
AM,Armenia,2000,if she burns the food,Wealth quintile,Middle,3.6,Women
AM,Armenia,2000,if she burns the food,Wealth quintile,Fourth,2.4,Women
AM,Armenia,2000,if she burns the food,Wealth quintile,Highest,2,Women
AM,Armenia,2000,if she burns the food,Marital status,Married or living together,5,Women
AM,Armenia,2000,if she burns the food,Marital status,"Widowed, divorced, separated",4.9,Women
AM,Armenia,2000,if she burns the food,Marital status,Never married,4.8,Women
AM,Armenia,2000,if she argues with him,Education,Secondary,16.6,Women
AM,Armenia,2000,if she argues with him,Education,Higher,4,Women
AM,Armenia,2000,if she argues with him,Wealth quintile,Lowest,27.1,Women
AM,Armenia,2000,if she argues with him,Wealth quintile,Second,18.4,Women
AM,Armenia,2000,if she argues with him,Wealth quintile,Middle,13.5,Women
AM,Armenia,2000,if she argues with him,Wealth quintile,Fourth,9.6,Women
AM,Armenia,2000,if she argues with him,Wealth quintile,Highest,6.4,Women
AM,Armenia,2000,if she argues with him,Marital status,Married or living together,15.8,Women
AM,Armenia,2000,if she argues with him,Marital status,"Widowed, divorced, separated",11.4,Women
AM,Armenia,2000,if she argues with him,Marital status,Never married,11.6,Women
AM,Armenia,2000,if she goes out without telling him,Education,Secondary,23.3,Women
AM,Armenia,2000,if she goes out without telling him,Education,Higher,5,Women
AM,Armenia,2000,if she goes out without telling him,Wealth quintile,Lowest,41.2,Women
AM,Armenia,2000,if she goes out without telling him,Wealth quintile,Second,27.1,Women
AM,Armenia,2000,if she goes out without telling him,Wealth quintile,Middle,16.2,Women
AM,Armenia,2000,if she goes out without telling him,Wealth quintile,Fourth,13.2,Women
AM,Armenia,2000,if she goes out without telling him,Wealth quintile,Highest,7.7,Women
AM,Armenia,2000,if she goes out without telling him,Marital status,Married or living together,22.1,Women
AM,Armenia,2000,if she goes out without telling him,Marital status,"Widowed, divorced, separated",15.7,Women
AM,Armenia,2000,if she goes out without telling him,Marital status,Never married,16.1,Women
AM,Armenia,2000,if she neglects the children,Education,Secondary,31.2,Women
AM,Armenia,2000,if she neglects the children,Education,Higher,9.3,Women
AM,Armenia,2000,if she neglects the children,Wealth quintile,Lowest,48.5,Women
AM,Armenia,2000,if she neglects the children,Wealth quintile,Second,36.6,Women
AM,Armenia,2000,if she neglects the children,Wealth quintile,Middle,24,Women
AM,Armenia,2000,if she neglects the children,Wealth quintile,Fourth,19.5,Women
AM,Armenia,2000,if she neglects the children,Wealth quintile,Highest,13,Women
AM,Armenia,2000,if she neglects the children,Marital status,Married or living together,29.5,Women
AM,Armenia,2000,if she neglects the children,Marital status,"Widowed, divorced, separated",22.6,Women
AM,Armenia,2000,if she neglects the children,Marital status,Never married,22.9,Women
AM,Armenia,2000,if she refuses to have sex with him,Education,Secondary,7.5,Women
AM,Armenia,2000,if she refuses to have sex with him,Education,Higher,2.2,Women
AM,Armenia,2000,if she refuses to have sex with him,Wealth quintile,Lowest,14.2,Women
AM,Armenia,2000,if she refuses to have sex with him,Wealth quintile,Second,7.6,Women
AM,Armenia,2000,if she refuses to have sex with him,Wealth quintile,Middle,5.8,Women
AM,Armenia,2000,if she refuses to have sex with him,Wealth quintile,Fourth,4.2,Women
AM,Armenia,2000,if she refuses to have sex with him,Wealth quintile,Highest,2.9,Women
AM,Armenia,2000,if she refuses to have sex with him,Marital status,Married or living together,7.6,Women
AM,Armenia,2000,if she refuses to have sex with him,Marital status,"Widowed, divorced, separated",6.9,Women
AM,Armenia,2000,if she refuses to have sex with him,Marital status,Never married,4.1,Women
AM,Armenia,2000,for at least one specific reason,Education,Secondary,37.2,Women
AM,Armenia,2000,for at least one specific reason,Education,Higher,11.3,Women
AM,Armenia,2000,for at least one specific reason,Wealth quintile,Lowest,56.8,Women
AM,Armenia,2000,for at least one specific reason,Wealth quintile,Second,43.4,Women
AM,Armenia,2000,for at least one specific reason,Wealth quintile,Middle,29.6,Women
AM,Armenia,2000,for at least one specific reason,Wealth quintile,Fourth,23.7,Women
AM,Armenia,2000,for at least one specific reason,Wealth quintile,Highest,15.2,Women
AM,Armenia,2000,for at least one specific reason,Marital status,Married or living together,35,Women
AM,Armenia,2000,for at least one specific reason,Marital status,"Widowed, divorced, separated",26.8,Women
AM,Armenia,2000,for at least one specific reason,Marital status,Never married,27.7,Women
AM,Armenia,2000,if she burns the food,Education,Secondary,6.7,Men
AM,Armenia,2000,if she burns the food,Education,Higher,2.8,Men
AM,Armenia,2000,if she burns the food,Wealth quintile,Lowest,10.5,Men
AM,Armenia,2000,if she burns the food,Wealth quintile,Second,9.9,Men
AM,Armenia,2000,if she burns the food,Wealth quintile,Middle,4.9,Men
AM,Armenia,2000,if she burns the food,Wealth quintile,Fourth,3.6,Men
AM,Armenia,2000,if she burns the food,Wealth quintile,Highest,1.5,Men
AM,Armenia,2000,if she burns the food,Marital status,Married or living together,5.3,Men
AM,Armenia,2000,if she burns the food,Marital status,Never married,6.8,Men
AM,Armenia,2000,if she argues with him,Education,Secondary,28.9,Men
AM,Armenia,2000,if she argues with him,Education,Higher,21.5,Men
AM,Armenia,2000,if she argues with him,Wealth quintile,Lowest,40.7,Men
AM,Armenia,2000,if she argues with him,Wealth quintile,Second,34,Men
AM,Armenia,2000,if she argues with him,Wealth quintile,Middle,24.2,Men
AM,Armenia,2000,if she argues with him,Wealth quintile,Fourth,24.7,Men
AM,Armenia,2000,if she argues with him,Wealth quintile,Highest,16.1,Men
AM,Armenia,2000,if she argues with him,Marital status,Married or living together,25.9,Men
AM,Armenia,2000,if she argues with him,Marital status,Never married,30.3,Men
AM,Armenia,2000,if she goes out without telling him,Education,Secondary,27.2,Men
AM,Armenia,2000,if she goes out without telling him,Education,Higher,15.2,Men
AM,Armenia,2000,if she goes out without telling him,Wealth quintile,Lowest,36.9,Men
AM,Armenia,2000,if she goes out without telling him,Wealth quintile,Second,39,Men
AM,Armenia,2000,if she goes out without telling him,Wealth quintile,Middle,18.6,Men
